city,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
Lasa,20,CY,1553632228,76,34.92,32.53,13.0,3.6
Touros,75,BR,1553630400,83,-5.2,-35.46,28.0,3.1
Saldanha,0,PT,1553633816,29,41.42,-6.55,12.79,7.71
Margate,0,AU,1553633277,66,-43.03,147.26,9.0,4.1
Dicabisagan,100,PH,1553633817,100,17.08,122.42,22.94,2.71
San Blas,40,MX,1553629320,23,21.54,-105.29,34.0,4.1
Virginia,1,US,1553633252,38,47.52,-92.54,7.22,5.1
Nouadhibou,0,MR,1553630400,77,20.93,-17.03,20.0,3.1
Sal Rei,40,CV,1553630400,60,16.18,-22.92,22.0,5.7
Shaping,48,CN,1553633819,92,29.23,103.26,6.49,0.61
San Juan del Sur,20,NI,1553630400,55,11.25,-85.87,32.0,3.1
Kaina,0,NG,1553630400,24,12.64,8.59,28.0,2.1
Victoria,75,BN,1553630400,94,5.28,115.24,26.0,2.11
Aberdeen,90,US,1553633707,86,45.47,-98.49,6.11,4.6
Thohoyandou,100,ZA,1553633821,93,-22.97,30.46,20.19,3.66
Moa,80,CU,1553633822,89,20.66,-74.95,22.19,0.41
Havre-Saint-Pierre,75,CA,1553630400,52,50.23,-63.6,-9.0,13.4
Coruripe,8,BR,1553633607,100,-10.12,-36.18,27.59,4.21
Houma,92,CN,1553633822,55,35.63,111.36,7.84,1.41
Erdenet,0,MN,1553633823,61,49.03,104.04,-16.92,0.96
Marsa Matruh,40,EG,1553630400,82,31.35,27.25,16.0,2.6
Broken Hill,0,AU,1553630400,76,-31.97,141.45,11.0,0.5
Stromness,1,CA,1553633819,25,42.87,-79.55,5.56,4.1
Garwa,8,IN,1553633825,89,27.63,81.51,16.29,1.76
Cockburn Town,56,TC,1553633825,100,21.46,-71.14,25.44,3.91
Mvomero,64,TZ,1553633825,86,-6.3,37.45,22.19,0.71
Itacurubi del Rosario,20,PY,1553633825,56,-24.5,-56.68,25.74,3.11
Oranjemund,8,ZA,1553633826,92,-28.55,16.43,15.94,3.21
Florence,1,US,1553633517,26,34.8,-87.68,17.22,6.2
Abu Samrah,32,SY,1553633826,72,35.3,37.18,8.94,4.36
Mount Isa,90,AU,1553633040,100,-20.73,139.49,23.0,4.1
Tazovskiy,76,RU,1553633827,88,67.47,78.7,-0.67,12.01
San Policarpo,92,PH,1553633827,100,12.18,125.51,24.64,3.76
Coihaique,0,CL,1553630400,42,-45.58,-72.07,22.0,2.6
Mitsamiouli,0,KM,1553633828,100,-11.38,43.28,28.29,2.81
Kanye,0,BW,1553633828,62,-24.98,25.34,18.09,1.31
Taoudenni,68,ML,1553633828,75,22.68,-3.98,20.44,1.01
Zwedru,32,LR,1553633829,91,6.07,-8.13,24.44,1.36
San Angelo,75,US,1553633712,38,31.46,-100.44,26.67,5.1
Otjimbingwe,80,NA,1553633829,48,-22.35,16.13,21.19,1.11
Lata,0,IN,1553633830,78,30.78,78.62,4.84,1.51
Bintulu,75,MY,1553630400,94,3.17,113.03,25.0,1.16
Mendi,8,ET,1553633832,37,9.8,35.1,18.24,2.21
Mareeba,75,AU,1553633717,94,-16.99,145.42,25.0,2.6
Nabire,92,ID,1553633639,98,-3.36,135.5,19.44,0.66
Saint Anthony,1,US,1553633745,30,43.97,-111.68,16.11,7.7
Chokurdakh,44,RU,1553633833,64,70.62,147.9,-22.42,5.76
Nyagan,80,RU,1553633834,80,62.14,65.43,0.94,4.61
Alofi,75,NU,1553630400,74,-19.06,-169.92,28.0,5.1
El Dorado,8,VE,1553633834,34,6.71,-61.64,34.54,1.86
Makakilo City,40,US,1553633616,69,21.35,-158.09,26.0,3.6
Rock Sound,0,BS,1553633835,100,24.9,-76.2,24.19,4.06
Along,92,IN,1553633835,95,28.17,94.8,12.99,0.46
Poyarkovo,0,RU,1553633835,53,49.62,128.65,-9.32,4.36
Northam,0,GB,1553633777,75,51.04,-4.21,8.89,2.1
Vallenar,8,CL,1553633836,67,-28.58,-70.76,22.49,1.21
Chegdomyn,20,RU,1553633836,68,51.13,133.04,-14.67,1.41
Ixtapa,40,MX,1553633709,61,20.71,-105.21,27.0,5.1
Luderitz,0,NA,1553633837,86,-26.65,15.16,16.09,4.26
Pizarro,20,CO,1553633837,74,4.95,-77.37,28.34,2.91
Lincoln,75,GB,1553633534,66,53.23,-0.54,10.0,5.1
San Jeronimo,76,PE,1553633838,78,-13.65,-73.37,11.44,1.01
Waipawa,32,NZ,1553633356,53,-39.94,176.59,21.67,3.13
Padang,75,ID,1553630400,100,-0.92,100.36,26.0,0.5
Puerto Cabezas,20,NI,1553630400,62,14.04,-83.39,30.0,5.1
Kurilsk,0,RU,1553633839,91,45.23,147.88,-0.92,5.71
Baruun-Urt,0,MN,1553633839,72,46.68,113.28,-13.22,1.41
